time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%,night
4/12/2019 13:13,3.543307087,BTC,IOST,Kucoin,Bittrex,0.221453878,86844.6921,0.223638484,86756.84741,0.002184606,0.986483635,0
4/12/2019 13:15,4.001025904,ETH,IOST,Binance,Okex,1.19438801,15309,1.229903859,15292.691,0.035515849,2.973560446,0
4/12/2019 13:16,3.049555273,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.924217231,11551.31182,0.014140214,1.55373815,0
4/12/2019 13:16,7.728054824,ETH,DASH,Coss,Binance,0.61539095,0.905,0.643351405,0.89319,0.027960455,4.543527085,0
4/12/2019 13:16,7.930410741,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.643409699,0.89319,0.028018749,4.552999877,0
4/12/2019 13:16,7.34569626,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.641323134,0.89319,0.025932184,4.21393644,0
4/12/2019 13:16,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.642834357,0.89319,0.027443407,4.459507794,0
4/12/2019 13:16,7.54369329,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645544738,0.89319,0.030153788,4.899940038,0
4/12/2019 13:17,3.937007874,BTC,IOST,Binance,Okex,0.5,196850.3937,0.508048871,196652.5433,0.008048871,1.609774215,0
4/12/2019 13:17,3.99382597,BTC,STORJ,Binance,Coss,0.05320059,1025,0.053876034,1020.475,0.000675444,1.2696167,0
4/12/2019 13:17,3.543307087,BTC,IOST,Binance,Bittrex,0.5,196850.3937,0.500885293,196652.5433,0.000885293,0.177058601,0
4/12/2019 13:18,3.529411765,BTC,IOST,Kucoin,Okex,0.28913838,113433.6669,0.295732662,113319.2332,0.006594282,2.280666388,0
4/12/2019 13:18,3.137254902,BTC,IOST,Kucoin,Bittrex,0.28913838,113433.6669,0.296784509,113319.2332,0.007646129,2.644453185,0
4/12/2019 13:20,4.377968931,ETH,IOST,Binance,Okex,2.45415812,31508,2.521957315,31475.492,0.067799195,2.762625391,0
4/12/2019 13:20,3.303684879,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.924008705,11551.31182,0.013931687,1.530825083,0
4/12/2019 13:20,7.748643362,ETH,DASH,Coss,Binance,0.61539095,0.905,0.64401787,0.89319,0.02862692,4.651826592,0
4/12/2019 13:20,7.740260886,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.643947216,0.89319,0.028556266,4.64034539,0
4/12/2019 13:20,7.367755408,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.641688975,0.89319,0.026298025,4.273385103,0
4/12/2019 13:20,7.648641892,ETH,DASH,Coss,Okex,0.61539095,0.905,0.642882836,0.89319,0.027491886,4.467385416,0
4/12/2019 13:20,7.54415212,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645548524,0.89319,0.030157574,4.900555349,0
4/12/2019 13:21,4.743083004,BTC,IOST,Binance,Okex,0.31771487,125579,0.3271004,125452.421,0.00938553,2.954073139,0
4/12/2019 13:21,3.95256917,BTC,IOST,Binance,Bittrex,0.31771487,125579,0.328615018,125452.421,0.010900148,3.430795531,0
4/12/2019 13:22,4.330708661,BTC,IOST,Kucoin,Okex,0.184268735,72592.9409,0.186068956,72519.34796,0.001800221,0.976954091,0
4/12/2019 13:22,3.543307087,BTC,IOST,Kucoin,Bittrex,0.184268735,72592.9409,0.188162859,72519.34796,0.003894124,2.113285221,0
4/12/2019 13:24,4.633204633,ETH,IOST,Binance,Okex,0.93619526,12038,0.958290438,12024.962,0.022095178,2.360103598,0
4/12/2019 13:24,3.303684879,ETH,IOST,Kucoin,Okex,0.910077018,11563.8757,0.92031338,11551.31182,0.010236363,1.124779803,0
4/12/2019 13:24,7.853056663,ETH,DASH,Coss,Binance,0.61539095,0.905,0.644098177,0.89319,0.028707227,4.664876299,0
4/12/2019 13:24,7.875115811,ETH,DASH,Coss,Hitbtc,0.61539095,0.905,0.644008901,0.89319,0.028617951,4.65036918,0
4/12/2019 13:24,7.476580538,ETH,DASH,Coss,Kucoin,0.61539095,0.905,0.642117278,0.89319,0.026726328,4.342983538,0
4/12/2019 13:24,7.795702878,ETH,DASH,Coss,Okex,0.61539095,0.905,0.641987252,0.89319,0.026596302,4.321854578,0
4/12/2019 13:25,7.545065369,ETH,DASH,Coss,Bittrex,0.61539095,0.905,0.645554137,0.89319,0.030163187,4.901467457,0
4/12/2019 13:25,4.743083004,BTC,IOST,Binance,Okex,0.14853377,58709,0.152274441,58649.291,0.003740671,2.518397298,0
4/12/2019 13:25,3.71368097,BTC,STORJ,Binance,Coss,0.03025343,582,0.030625611,577.918,0.000372181,1.230210619,0
4/12/2019 13:25,3.95256917,BTC,IOST,Binance,Bittrex,0.14853377,58709,0.15290667,58649.291,0.0043729,2.944044525,0
