time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 15:23,8.052941177,ETH,DASH,Coss,Binance,0.67048,0.986,0.705038981,0.974028,0.034558981,5.154364155
4/12/2019 15:23,8.251911765,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.704939586,0.974028,0.034459586,5.139539762
4/12/2019 15:23,7.766176471,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.700041713,0.974028,0.029561713,4.409037281
4/12/2019 15:23,8.088235294,ETH,DASH,Coss,Okex,0.67048,0.986,0.703864147,0.974028,0.033384147,4.979141387
4/12/2019 15:23,7.926067647,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707049389,0.974028,0.036569389,5.454210292
4/12/2019 15:27,8.001470588,ETH,DASH,Coss,Binance,0.67048,0.986,0.704377304,0.974028,0.033897304,5.055677139
4/12/2019 15:27,8.032941177,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.704098984,0.974028,0.033618984,5.014166496
4/12/2019 15:27,7.682352941,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.701752231,0.974028,0.031272231,4.664155618
4/12/2019 15:27,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.703864147,0.974028,0.033384147,4.979141387
4/12/2019 15:27,7.925792647,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707047561,0.974028,0.036567561,5.453937681
4/12/2019 15:31,7.972058824,ETH,DASH,Coss,Binance,0.67048,0.986,0.704016275,0.974028,0.033536275,5.001830712
4/12/2019 15:31,7.975294118,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.703890712,0.974028,0.033410712,4.983103439
4/12/2019 15:31,7.682352941,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.70172134,0.974028,0.03124134,4.659548441
4/12/2019 15:31,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.703864147,0.974028,0.033384147,4.979141387
4/12/2019 15:31,7.925794118,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.707047582,0.974028,0.036567582,5.453940759
4/12/2019 15:34,7.788235294,ETH,DASH,Coss,Binance,0.67048,0.986,0.703199909,0.974028,0.032719909,4.880072303
4/12/2019 15:34,7.701176471,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702341217,0.974028,0.031861217,4.75200103
4/12/2019 15:34,7.298529412,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.700679699,0.974028,0.030199699,4.504190877
4/12/2019 15:34,7.941176471,ETH,DASH,Coss,Okex,0.67048,0.986,0.701949208,0.974028,0.031469208,4.693534169
4/12/2019 15:34,7.925786765,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705533236,0.974028,0.035053236,5.228080773
4/12/2019 15:38,7.786764706,ETH,DASH,Coss,Binance,0.67048,0.986,0.702140213,0.974028,0.031660213,4.722021921
4/12/2019 15:38,7.651176471,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702157493,0.974028,0.031677493,4.724599302
4/12/2019 15:38,7.405882353,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.698217872,0.974028,0.027737872,4.137017128
4/12/2019 15:38,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.701919013,0.974028,0.031439013,4.689030733
4/12/2019 15:38,7.925786765,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705206063,0.974028,0.034726063,5.179283929
4/12/2019 15:42,7.713235294,ETH,DASH,Coss,Binance,0.67048,0.986,0.702732843,0.974028,0.032252843,4.81041088
4/12/2019 15:42,7.667352941,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702279003,0.974028,0.031799003,4.742722138
4/12/2019 15:42,7.405882353,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699994921,0.974028,0.029514921,4.402058366
4/12/2019 15:42,7.647058824,ETH,DASH,Coss,Okex,0.67048,0.986,0.701919013,0.974028,0.031439013,4.689030733
4/12/2019 15:42,7.647064706,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705206054,0.974028,0.034726054,5.17928259
4/12/2019 15:46,7.770588235,ETH,DASH,Coss,Binance,0.67048,0.986,0.703112334,0.974028,0.032632334,4.867010786
4/12/2019 15:46,7.722794118,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.70248314,0.974028,0.03200314,4.773168503
4/12/2019 15:46,7.391176471,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.700621316,0.974028,0.030141316,4.495483199
4/12/2019 15:46,7.647058824,ETH,DASH,Coss,Okex,0.67048,0.986,0.701097073,0.974028,0.030617073,4.566440911
4/12/2019 15:46,7.647063235,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705206054,0.974028,0.034726054,5.17928259
4/12/2019 15:50,7.782352941,ETH,DASH,Coss,Binance,0.67048,0.986,0.70308525,0.974028,0.03260525,4.862971333
4/12/2019 15:50,7.722941177,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.702694082,0.974028,0.032214082,4.804629747
4/12/2019 15:50,7.442647059,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699981636,0.974028,0.029501636,4.400076905
4/12/2019 15:50,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.701919013,0.974028,0.031439013,4.689030733
4/12/2019 15:50,7.647064706,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705206064,0.974028,0.034726064,5.179284039
4/12/2019 15:53,7.9,ETH,DASH,Coss,Binance,0.67048,0.986,0.703970949,0.974028,0.033490949,4.995070476
4/12/2019 15:53,7.875,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.70350674,0.974028,0.03302674,4.925835276
4/12/2019 15:53,7.442647059,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.699981636,0.974028,0.029501636,4.400076905
4/12/2019 15:53,7.794117647,ETH,DASH,Coss,Okex,0.67048,0.986,0.70289158,0.974028,0.03241158,4.83408606
4/12/2019 15:53,7.647188235,ETH,DASH,Coss,Bittrex,0.67048,0.986,0.705206967,0.974028,0.034726967,5.179418805
4/12/2019 15:57,7.866176471,ETH,DASH,Coss,Binance,0.67048,0.986,0.703775759,0.974028,0.033295759,4.965958548
4/12/2019 15:57,7.916470588,ETH,DASH,Coss,Hitbtc,0.67048,0.986,0.703778923,0.974028,0.033298923,4.96643043
4/12/2019 15:57,7.486764706,ETH,DASH,Coss,Kucoin,0.67048,0.986,0.696813964,0.974028,0.026333964,3.927628513
