time,Estimated profit%,Base,Intermediate,srcExchange,dstExchange,initialBaseAmount,initialAmountOfAltCoin,finalBaseAmount,amountOfAltCoinAtDst,ProfitInBase,TotalProfit%
4/12/2019 20:38,2.588503997,BTC,STORJ,Binance,Coss,0.0464979,885,0.046618403,880.615,0.000120503,0.259157779
4/12/2019 20:38,3.461538462,BTC,IOST,Binance,Bittrex,0.4327518,166443,0.435475673,166275.557,0.002723873,0.629430658
4/12/2019 20:38,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082296551,31531.2454,0.084114415,31498.71416,0.001817865,2.208919568
4/12/2019 20:41,3.0651341,BTC,IOST,Binance,Bittrex,0.5,191570.8812,0.502459463,191378.3103,0.002459463,0.491892599
4/12/2019 20:41,3.0651341,BTC,IOST,Kucoin,Bittrex,0.137233664,52379.2611,0.13905977,52325.88184,0.001826106,1.330654496
4/12/2019 20:45,3.435114504,BTC,IOST,Kucoin,Bittrex,0.137233664,52379.2611,0.140431026,52325.88184,0.003197362,2.329867241
4/12/2019 20:47,3.0651341,BTC,IOST,Binance,Bittrex,0.5,191570.8812,0.502481795,191378.3103,0.002481795,0.496359056
4/12/2019 20:48,2.671755725,BTC,IOST,Kucoin,Bittrex,0.137233664,52379.2611,0.138060302,52325.88184,0.000826638,0.602357891
4/12/2019 20:51,30.32786885,BTC,THETA,Binance,Livecoin,0.0321005,1381,0.035258122,1379.519,0.003157622,9.836675694
4/12/2019 20:51,0.383141763,BTC,IOST,Binance,Okex,0.5,192307.6923,0.50061731,192114.3846,0.00061731,0.123462025
4/12/2019 20:51,3.448275862,BTC,IOST,Binance,Bittrex,0.5,192307.6923,0.503308899,192114.3846,0.003308899,0.661779873
4/12/2019 20:51,3.053435115,BTC,IOST,Kucoin,Bittrex,0.082257373,31516.2347,0.084428238,31483.71847,0.002170865,2.639112859
4/12/2019 20:54,3.461538462,BTC,IOST,Binance,Bittrex,0.4348006,167231,0.437479397,167062.769,0.002678797,0.616097748
4/12/2019 20:55,3.0651341,BTC,IOST,Kucoin,Bittrex,0.082257373,31516.2347,0.084115167,31483.71847,0.001857794,2.258513624
4/12/2019 20:57,3.0651341,BTC,IOST,Binance,Bittrex,0.04524,17400,0.046447707,17381.6,0.001207707,2.669555499
4/12/2019 20:58,2.671755725,BTC,IOST,Kucoin,Bittrex,0.189507972,72331.287,0.192464729,72257.95571,0.002956757,1.560228344
4/12/2019 21:00,3.0651341,BTC,IOST,Binance,Bittrex,0.03016,11600,0.030592181,11587.4,0.000432181,1.432959997
4/12/2019 21:01,2.671755725,BTC,IOST,Kucoin,Bittrex,0.08229713,31531.4675,0.08381267,31498.93603,0.001515539,1.84154574
4/12/2019 21:04,3.461538462,BTC,IOST,Binance,Bittrex,0.14825678,57242,0.151590389,57183.758,0.003333609,2.248536965
4/12/2019 21:05,3.0651341,BTC,IOST,Kucoin,Bittrex,0.052044661,20017.2436,0.053095556,19996.22636,0.001050895,2.019218406
4/12/2019 21:07,1.158301158,BTC,IOST,Binance,Okex,0.48925359,188901,0.489638106,188711.099,0.000384516,0.07859233
4/12/2019 21:07,2.452005322,BTC,STORJ,Binance,Coss,0.03330213,633,0.033325592,628.867,0.000023462,0.070452024
4/12/2019 21:07,3.861003861,BTC,IOST,Binance,Bittrex,0.48287183,186437,0.486379255,186249.563,0.003507425,0.726367707
4/12/2019 21:08,3.861003861,BTC,IOST,Kucoin,Bittrex,0.052044661,20017.2436,0.053095556,19996.22636,0.001050895,2.019218406
4/12/2019 21:10,3.861003861,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.503484544,192856.1429,0.003484544,0.696908704
4/12/2019 21:11,3.861003861,BTC,IOST,Kucoin,Bittrex,0.082961739,31908.3613,0.084815456,31875.45294,0.001853717,2.234423956
4/12/2019 21:13,3.861003861,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.504411427,192856.1429,0.004411427,0.882285392
4/12/2019 21:14,3.461538462,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.084792424,31866.8049,0.001853192,2.234397167
4/12/2019 21:17,3.861003861,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.50387957,192856.1429,0.00387957,0.775913946
4/12/2019 21:18,3.461538462,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.084792424,31866.8049,0.001853192,2.234397167
4/12/2019 21:20,31.69136879,BTC,THETA,Binance,Livecoin,0.03365936,1466,0.036209153,1464.434,0.002549793,7.575287937
4/12/2019 21:20,4.633204633,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.50298475,192856.1429,0.00298475,0.596949981
4/12/2019 21:21,4.230769231,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.084798098,31866.8049,0.001858866,2.241238394
4/12/2019 21:23,3.861003861,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.50351342,192856.1429,0.00351342,0.70268398
4/12/2019 21:24,3.461538462,BTC,IOST,Kucoin,Bittrex,0.082939232,31899.7046,0.084792424,31866.8049,0.001853192,2.234397167
4/12/2019 21:27,4.247104247,BTC,IOST,Binance,Bittrex,0.5,193050.1931,0.504412421,192856.1429,0.004412421,0.882484102
